"ED","AC","Report","GUID"
"Clonaslee, Laois","Laois County Council","<a href="".\reports\html\37--csohealthprofile--edname--clonaslee--laois--acname--laois-county-council--edguid--2ae19629-16c3-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\37--csohealthprofile--edname--clonaslee--laois--acname--laois-county-council--edguid--2ae19629-16c3-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16c3-13a3-e055-000000000001"
"Clondarrig, Laois","Laois County Council","<a href="".\reports\html\38--csohealthprofile--edname--clondarrig--laois--acname--laois-county-council--edguid--2ae19629-16c4-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\38--csohealthprofile--edname--clondarrig--laois--acname--laois-county-council--edguid--2ae19629-16c4-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16c4-13a3-e055-000000000001"
"Clonin, Laois","Laois County Council","<a href="".\reports\html\39--csohealthprofile--edname--clonin--laois--acname--laois-county-council--edguid--2ae19629-16c5-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\39--csohealthprofile--edname--clonin--laois--acname--laois-county-council--edguid--2ae19629-16c5-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16c5-13a3-e055-000000000001"
"Clonkeen, Laois","Laois County Council","<a href="".\reports\html\40--csohealthprofile--edname--clonkeen--laois--acname--laois-county-council--edguid--2ae19629-16c6-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\40--csohealthprofile--edname--clonkeen--laois--acname--laois-county-council--edguid--2ae19629-16c6-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16c6-13a3-e055-000000000001"
"Clonmore, Laois","Laois County Council","<a href="".\reports\html\41--csohealthprofile--edname--clonmore--laois--acname--laois-county-council--edguid--2ae19629-16c7-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\41--csohealthprofile--edname--clonmore--laois--acname--laois-county-council--edguid--2ae19629-16c7-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16c7-13a3-e055-000000000001"
"Colt, Laois","Laois County Council","<a href="".\reports\html\42--csohealthprofile--edname--colt--laois--acname--laois-county-council--edguid--2ae19629-16c8-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\42--csohealthprofile--edname--colt--laois--acname--laois-county-council--edguid--2ae19629-16c8-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16c8-13a3-e055-000000000001"
"Coolrain, Laois","Laois County Council","<a href="".\reports\html\43--csohealthprofile--edname--coolrain--laois--acname--laois-county-council--edguid--2ae19629-16c9-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\43--csohealthprofile--edname--coolrain--laois--acname--laois-county-council--edguid--2ae19629-16c9-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16c9-13a3-e055-000000000001"
"Cuffsborough, Laois","Laois County Council","<a href="".\reports\html\44--csohealthprofile--edname--cuffsborough--laois--acname--laois-county-council--edguid--2ae19629-16ca-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\44--csohealthprofile--edname--cuffsborough--laois--acname--laois-county-council--edguid--2ae19629-16ca-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16ca-13a3-e055-000000000001"
"Killabban, Laois","Laois County Council","<a href="".\reports\html\45--csohealthprofile--edname--killabban--laois--acname--laois-county-council--edguid--2ae19629-16cb-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\45--csohealthprofile--edname--killabban--laois--acname--laois-county-council--edguid--2ae19629-16cb-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16cb-13a3-e055-000000000001"
"Killermogh, Laois","Laois County Council","<a href="".\reports\html\46--csohealthprofile--edname--killermogh--laois--acname--laois-county-council--edguid--2ae19629-16cc-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\46--csohealthprofile--edname--killermogh--laois--acname--laois-county-council--edguid--2ae19629-16cc-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16cc-13a3-e055-000000000001"
